isAdult,releaseYear,runtimeMinutes,genres,lifetimeGross,nrOfReleases,director_nrOfMovies,nrOfEmployees,nrOfActors,averageRating,numVotes,sameYearTotalMoviesReleased
0,1993,109,Drama,322871.0,28,240,21,10,6.1,2955,4214
0,2011,91,Comedy,74158157.0,45,86,26,12,3.3,90649,13791
0,2003,80,"Comedy,Drama",39895.0,5,9,20,10,5.0,143,6147
0,2004,100,Documentary,39895.0,7,14,25,0,7.3,291,6733
0,2004,104,Drama,39895.0,4,3,23,10,6.6,91,6733
0,1995,97,"Drama,Family,Fantasy",10015449.0,41,37,21,11,7.6,36807,4397
0,1997,95,Drama,69915.0,23,25,12,6,7.5,3151,4708
0,1999,87,"Crime,Horror,Mystery",69915.0,9,3,16,10,5.0,159,5036
0,2007,104,"Drama,Sport",7057600.0,16,30,25,10,6.3,6908,9066
0,1979,97,"Drama,Romance",11606005.0,15,49,23,11,6.4,827,4157
0,1989,113,"Action,Drama,Romance",444055.0,28,125,20,10,6.3,1702,4633
0,2013,118,"Biography,Drama,History",45502.0,25,47,25,11,7.0,3580,15505
0,1988,97,"Action,Adventure,Drama",5855392.0,20,103,20,10,5.4,1355,4634
0,2011,100,"Action,Thriller",29792.0,20,36,21,10,4.3,2647,13791
0,1995,135,"Drama,Romance",10382407.0,44,102,20,10,5.3,16325,4397
0,2015,124,"Comedy,Drama,Music",2703296.0,58,75,22,10,7.3,83287,17292
0,2016,124,Drama,2703296.0,2,1,18,11,7.8,16,18513
0,1980,101,Horror,8415112.0,33,201,20,10,4.8,2878,4117
0,2005,112,"Adventure,Comedy,Drama",11304403.0,38,83,24,11,6.5,56397,7753
0,2000,120,"Drama,Romance,Western",669258.0,31,118,23,10,6.3,6632,5246
0,2011,114,"Action,Adventure,Drama",19490041.0,52,45,21,11,6.2,74185,13791
0,2000,135,"Drama,Romance",3043284.0,27,17,20,10,7.0,8103,5246
0,2017,107,"Drama,War",161796.0,32,36,24,10,6.7,11386,18977
0,1997,96,"Crime,Drama,Thriller",796681.0,19,23,18,10,6.3,1464,4708
0,2014,111,Drama,9045.0,29,37,21,10,7.2,2763,16664
0,2015,97,"Drama,Horror,Thriller",9045.0,9,10,15,9,4.3,1606,17292
0,2011,80,Drama,3000.0,4,7,21,10,5.1,739,13791
0,1994,101,"Action,Comedy,Crime",119938730.0,60,21,22,11,6.9,422996,4186
0,2004,105,"Drama,Sport",294758.0,4,36,15,10,6.5,509,6733
0,1980,112,Comedy,2900000.0,26,185,19,10,6.3,3921,4117
0,1982,122,"Biography,Drama,History",14000000.0,37,31,21,10,7.7,23447,4121
0,2014,97,Comedy,150157400.0,63,41,22,10,6.3,330092,16664
0,2000,90,"Drama,Romance,War",1012153.0,3,1,14,10,7.2,49,5246
0,2001,98,"Comedy,Drama,War",1012153.0,37,31,19,10,7.9,48889,5636
0,1987,93,"Action,Drama,Sport",16057580.0,52,52,23,10,5.8,59630,4526
0,1980,103,"Drama,Fantasy",3910019.0,22,265,21,10,7.1,3427,4117
0,1990,124,"Action,Crime,Drama",15645616.0,48,35,21,10,6.2,20609,4920
0,1989,100,"Drama,History",15645616.0,13,29,17,11,7.2,735,4633
0,1999,88,"Biography,Documentary,History",362649.0,12,41,21,3,7.2,846,5036
0,2002,116,"Drama,Music",1151941.0,30,26,23,10,7.4,4480,5864
0,2001,126,"Drama,Musical",69613.0,10,68,18,10,7.5,452,5636
0,1991,92,Drama,256521.0,14,38,21,10,5.2,538,4467
0,2005,86,Comedy,431513.0,13,4,23,10,5.8,1550,7753
0,2007,123,"Drama,Mystery,Romance",50927067.0,62,57,21,10,7.8,300821,9066
0,1999,120,"Comedy,Drama,Romance",34102780.0,24,42,20,10,6.7,11891,5036
0,2018,97,Drama,10628.0,17,9,21,10,6.1,1186,19175
0,1989,97,Comedy,3102.0,10,203,21,10,5.5,134,4633
0,2008,112,"Action,Adventure,Comedy",70231041.0,43,74,24,10,5.7,84716,10549
0,2014,93,"Action,Documentary,History",312706.0,6,7,21,0,6.7,2827,16664
0,1997,84,Comedy,3600616.0,23,883,22,10,4.8,9256,4708
0,2015,151,Documentary,7578.0,2,7,5,1,4.4,117,17292
0,1956,175,"Adventure,Comedy,Family",42000000.0,59,54,21,10,6.7,29780,2601
0,2005,124,"Action,Adventure,Comedy",68671925.0,39,36,25,10,6.1,103879,7753
0,1993,101,"Drama,Family,Fantasy",31181347.0,46,110,22,11,7.3,44621,4214
0,1991,106,"Comedy,Drama,Musical",246000.0,15,43,18,10,6.4,1243,4467
0,2011,93,"Comedy,Crime,Drama",790421.0,22,3,23,10,6.2,5403,13791
0,1992,112,"Action,Adventure,Drama",75505856.0,57,39,24,10,7.7,188518,4394
0,1987,357,"Drama,Romance",1025228.0,25,10,19,10,7.2,1242,4526
0,2015,99,Comedy,24134.0,26,19,19,10,5.7,4438,17292
0,2005,144,"Drama,Romance",2484186.0,35,10,20,10,6.5,9935,7753
0,2007,91,"Biography,Crime,Drama",1507990.0,26,16,23,10,6.2,9770,9066
0,1983,99,"Comedy,Crime,Drama",63541777.0,53,3,20,10,6.8,100203,4250
0,1999,84,"Drama,Romance",1314053.0,45,24,22,10,5.2,12079,5036
0,2006,102,"Comedy,Drama",47986.0,21,3,19,10,6.4,2343,8293
0,2016,98,"Drama,Horror,Mystery",27593.0,38,19,27,10,6.1,6638,18513
0,1979,106,"Drama,Music,Romance",2631244.0,18,54,16,10,6.7,340,4157
0,2000,127,"Comedy,Fantasy,Romance",182811707.0,53,9,25,10,6.4,222992,5246
0,1989,93,"Horror,Thriller",76325.0,29,3,25,10,5.5,2412,4633
0,1990,100,"Comedy,Drama",76325.0,4,110,17,10,5.8,42,4920
0,2014,110,"Action,Adventure,Comedy",24572.0,45,28,25,10,5.4,35578,16664
0,1994,88,"Adventure,Drama,Family",4630377.0,36,3,21,10,6.6,10703,4186
0,1996,87,Comedy,32417995.0,30,51,18,10,6.2,43785,4372
0,2012,106,"Drama,Fantasy,Sci-Fi",353513.0,17,31,21,10,4.6,9343,14841
0,1987,91,"Action,Thriller",285885.0,30,1,21,10,4.6,978,4526
0,2009,119,"Comedy,Drama,Music",657986.0,38,10,29,11,7.5,18673,12001
0,2010,116,"Action,Biography,Drama",93617009.0,59,21,24,10,7.8,389802,12843
0,2006,95,Documentary,31502.0,6,28,10,3,7.6,346,8293
0,2002,132,"Action,Adventure,Drama",18306166.0,38,38,24,10,6.5,35540,5864
0,1921,150,"Drama,Romance,War",9183673.0,23,30,18,10,7.1,3555,2618
0,1991,112,"Comedy,Drama,Romance",1710057.0,38,48,18,12,7.0,17499,4467
0,1998,96,"Drama,Thriller",13583690.0,40,6,23,10,5.5,13305,4866
0,1999,92,"Comedy,Fantasy,Horror",4152230.0,40,90,22,10,6.2,46875,5036
0,2016,100,"Biography,Drama",13960394.0,48,50,24,10,6.7,83569,18513
0,2010,100,"Comedy,Romance",25918920.0,56,47,22,10,6.4,110889,12843
0,2010,94,"Drama,Romance",25918920.0,26,9,17,10,5.8,2810,12843
0,2018,102,"Comedy,Romance",990230.0,36,85,23,10,5.7,17517,19175
0,1987,103,"Comedy,Fantasy,Romance",4572845.0,24,23,23,12,6.3,3706,4526
0,1994,110,"Comedy,Drama",39491975.0,43,13,20,10,7.3,22588,4186
0,2010,90,Documentary,42273.0,10,17,10,1,7.2,955,12843
0,1986,111,Drama,3800000.0,33,188,19,10,5.7,3392,4463
0,1995,93,"Comedy,Drama,Romance",15453274.0,26,93,18,10,5.3,6999,4397
0,1991,98,"Crime,Drama,Mystery",11511031.0,42,58,23,10,6.5,11465,4467
0,2011,101,Drama,3909002.0,51,50,20,10,7.2,206593,13791
0,2006,113,"Comedy,Drama,Fantasy",40660952.0,51,32,20,10,7.5,236748,8293
0,2005,128,Drama,40660952.0,3,1,9,7,8.0,15,7753
0,1996,98,"Action,Sci-Fi",3793614.0,37,8,23,10,3.5,31364,4372
0,2003,97,"Crime,Thriller",12251640.0,41,52,22,10,6.6,35399,6147
0,2004,95,"Drama,Mystery,Romance",16670.0,14,3,22,10,3.8,1596,6733
0,2006,85,Documentary,16670.0,3,44,15,7,5.8,9,8293
0,1990,109,"Drama,Romance",83490.0,19,20,19,10,5.3,256,4920
0,2006,94,Comedy,6090172.0,35,59,21,10,6.9,88763,8293
0,2000,101,"Comedy,Crime,Romance",1638202.0,32,2,18,10,5.6,7864,5246
0,2001,86,"Comedy,Mystery,Romance",10424470.0,35,31,24,11,5.4,15325,5636
0,2014,109,"Drama,Romance,Thriller",6921.0,24,103,21,10,6.5,5957,16664
