releaseYear,runtimeMinutes,lifetimeGross,nrOfReleases,director_nrOfMovies,nrOfEmployees,nrOfActors,averageRating,numVotes,sameYearTotalMoviesReleased,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Other,Romance,Sci-Fi,Sport,Thriller,War,Western
0.7980769230769234,0.18617021276595747,3.9163915099677123e-05,0.20512820512820512,0.022494887525562376,0.41025641025641024,0.38461538461538464,1,0.0033240641152717143,0.24855673349427942,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9326923076923102,0.18617021276595747,1.7043629266252857e-05,0.10256410256410256,0.006134969325153375,0.5384615384615384,0.38461538461538464,0,5.1216697848597416e-05,0.9124068437073581,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8269230769230766,0.42553191489361697,0.0021205941270079644,0.5256410256410255,0.09202453987730061,0.5384615384615384,0.42307692307692313,1,0.034477875892902875,0.34769602183268605,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89423076923077,0.276595744680851,9.394781010178405e-05,0.41025641025641024,0.08588957055214724,0.4871794871794871,0.38461538461538464,0,0.02438818641672918,0.7196914033798678,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.9038461538461569,0.23936170212765961,9.394781010178405e-05,0.03846153846153846,0.006134969325153375,0.28205128205128205,0.15384615384615385,0,3.213596727755132e-05,0.7545397291907212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7980769230769234,0.4308510638297872,0.05528444934370742,0.6538461538461539,0.03885480572597137,0.5128205128205128,0.38461538461538464,1,0.14954171097915278,0.24855673349427942,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8365384615384635,0.31382978723404253,9.780632189610099e-06,0.16666666666666666,0.02862985685071575,0.4871794871794871,0.38461538461538464,0,0.002282657925683567,0.37603652776319935,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.8365384615384635,0.36170212765957444,9.780632189610099e-06,0.02564102564102564,0.014314928425357875,0.3846153846153846,0.38461538461538464,0,1.004248977423479e-06,0.37603652776319935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.875,0.4787234042553191,0.1073085767105159,0.6153846153846153,0.17995910020449898,0.5384615384615384,0.38461538461538464,1,0.2851163271802999,0.6148315314369687,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5961538461538467,0.35106382978723405,0.011063608564075103,0.641025641025641,0.09815950920245399,0.5128205128205128,0.38461538461538464,1,0.03348166090729878,0.15650257163850112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.8461538461538467,0.23936170212765961,0.0001306868525774727,0.21794871794871795,0.1554192229038855,0.43589743589743585,0.38461538461538464,1,0.0027526464471177552,0.4166054371785452,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.8461538461538467,0.22340425531914893,0.0001306868525774727,0.012820512820512824,0.014314928425357875,0.1794871794871795,0.038461538461538464,1,8.03399181938783e-06,0.4166054371785452,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89423076923077,0.42021276595744683,0.013064575981422308,0.5897435897435898,0.11451942740286299,0.5384615384615384,0.38461538461538464,1,0.10722466756848224,0.7196914033798678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.6346153846153868,0.276595744680851,0.04162396998731525,0.5256410256410255,0.0736196319018405,0.5641025641025641,0.38461538461538464,1,0.043412679045039565,0.17870263461740316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7403846153846168,0.3936170212765957,0.007485316958443189,0.5384615384615384,0.059304703476482624,0.4871794871794871,0.38461538461538464,1,0.040451148810617725,0.17025296525663902,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.9230769230769234,0.28191489361702127,0.017845516946777176,0.47435897435897434,0.081799591002045,0.4615384615384615,0.38461538461538464,1,0.08980295630813974,0.8483258108533642,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9423076923076934,0.2712765957446809,1.4270948276994148e-05,0.23076923076923075,0.07770961145194274,0.41025641025641024,0.34615384615384615,0,0.0024644269905972167,0.9367586858402436,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8846153846153868,0.37234042553191493,0.011460389407318134,0.6153846153846153,0.09611451942740287,0.4871794871794871,0.38461538461538464,1,0.09364119589985227,0.6645848640705364,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.9326923076923102,0.14361702127659576,0.00010360734137171623,0.02564102564102564,0.026584867075664625,0.20512820512820512,0.038461538461538464,1,4.519120398405654e-05,0.9124068437073581,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7307692307692335,0.38829787234042556,0.0028994504105708434,0.3205128205128205,0.044989775051124746,0.4871794871794871,0.38461538461538464,1,0.010232292830967825,0.17156502571638504,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
